mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
23, 19.5922, 4.4045, 114.757, 16.6440, local, 0.155, 0.028, 0.223, 0.248, 0.273, 0.88, 17, 11, 6, 6, 
24, 19.7055, 4.4300, 115.420, 16.7403, local, 0.192, 0.057, 0.348, 0.398, 0.213, 1.78, 18, 10, 5, 5, 
25, 19.8767, 4.4685, 116.423, 16.8858, local-hole, 0.183, 0.039, 0.239, 0.268, 0.319, 2.42, 38, 14, 7, 7, 
26, 19.8872, 4.4708, 116.485, 16.8947, local, 0.151, 0.030, 0.283, 0.323, 0.268, 1.09, 17, 13, 7, 7, 
27, 20.0032, 4.4969, 117.164, 16.9932, local, 0.159, 0.036, 0.235, 0.264, 0.219, 1.99, 27, 13, 7, 7, 
28, 20.2107, 4.5435, 118.379, 17.1695, local, 0.181, 0.043, 0.253, 0.302, 0.229, 1.03, 20, 8, 4, 4, 
29, 20.2183, 4.5452, 118.424, 17.1759, local-hole, 0.481, 0.021, 0.215, 0.242, 0.392, 4.12, 18, 4, 2, 2, 
30, 20.2196, 4.5455, 118.431, 17.1770, local-hole, 0.459, 0.023, 0.212, 0.240, 0.402, 4.17, 18, 3, 2, 2, 
31, 20.4068, 4.5876, 119.528, 17.3360, local-hole, 0.168, 0.030, 0.185, 0.206, 0.330, 2.50, 20, 4, 2, 2, 
32, 20.6153, 4.6345, 120.749, 17.5132, local-hole, 0.101, 0.010, 0.183, 0.207, 0.385, 2.54, 23, 13, 7, 7, 
33, 20.8917, 4.6966, 122.368, 17.7480, local, 0.174, 0.031, 0.167, 0.193, 0.296, 1.38, 18, 12, 6, 6, 
34, 20.9078, 4.7003, 122.462, 17.7617, local-hole, 0.533, 0.018, 0.224, 0.251, 0.371, 3.98, 16, 4, 2, 2, 
35, 20.9805, 4.7166, 122.888, 17.8234, local, 0.145, 0.019, 0.165, 0.191, 0.358, 1.81, 15, 19, 10, 10, 
36, 21.0024, 4.7215, 123.017, 17.8421, local-hole, 0.423, 0.012, 0.113, 0.128, 0.755, 7.79, 24, 9, 5, 5, 
37, 21.0063, 4.7224, 123.040, 17.8454, local-hole, 0.292, 0.011, 0.038, 0.045, 0.889, 22.11, 14, 8, 4, 4, 
38, 21.0350, 4.7289, 123.208, 17.8698, local-hole, 0.428, 0.023, 0.186, 0.213, 0.477, 4.69, 15, 5, 3, 3, 
39, 21.6083, 4.8577, 126.565, 18.3568, local, 0.163, 0.014, 0.102, 0.122, 0.168, 0.68, 17, 11, 6, 6, 
40, 21.6156, 4.8594, 126.608, 18.3630, local, 0.169, 0.020, 0.103, 0.126, 0.178, 0.70, 16, 14, 7, 7, 
41, 21.7495, 4.8895, 127.393, 18.4767, local-hole, 0.494, 0.015, 0.043, 0.050, 0.897, 20.12, 21, 8, 4, 4, 
42, 21.7511, 4.8898, 127.402, 18.4781, local-hole, 0.431, 0.011, 0.044, 0.051, 0.896, 19.57, 24, 7, 4, 4, 
43, 22.2840, 5.0096, 130.523, 18.9308, local, 0.174, 0.039, 0.161, 0.194, 0.171, 0.89, 14, 16, 8, 8, 
44, 22.3264, 5.0192, 130.772, 18.9668, local, 0.157, 0.031, 0.196, 0.252, 0.164, 0.87, 25, 9, 5, 5, 
45, 22.3774, 5.0306, 131.070, 19.0102, local, 0.161, 0.025, 0.110, 0.121, 0.176, 0.75, 13, 17, 9, 9, 
46, 22.4757, 5.0527, 131.646, 19.0937, local, 0.184, 0.040, 0.148, 0.173, 0.169, 0.98, 22, 16, 8, 8, 
47, 23.0218, 5.1755, 134.845, 19.5576, local, 0.163, 0.013, 0.069, 0.087, 0.156, 0.66, 12, 10, 5, 5, 
48, 23.1367, 5.2013, 135.518, 19.6552, local, 0.154, 0.034, 0.200, 0.241, 0.181, 0.96, 25, 11, 6, 6, 
49, 23.8266, 5.3564, 139.559, 20.2413, local, 0.130, 0.046, 0.295, 0.340, 0.236, 1.13, 16, 6, 3, 3, 
50, 23.8677, 5.3657, 139.799, 20.2762, local, 0.143, 0.041, 0.269, 0.310, 0.240, 1.09, 23, 5, 3, 3, 
51, 24.6180, 5.5343, 144.194, 20.9136, local, 0.131, 0.058, 0.383, 0.448, 0.215, 1.29, 22, 4, 2, 2, 
52, 24.7899, 5.5730, 145.201, 21.0597, local, 0.143, 0.055, 0.358, 0.399, 0.210, 1.07, 39, 7, 4, 4, 
53, 25.2849, 5.6843, 148.100, 21.4801, local, 0.272, 0.097, 0.354, 0.418, 0.187, 1.14, 32, 4, 2, 2, 
